date,demand_GW
2020-08-16 02:35:34,20062
2020-08-16 02:40:35,20025
2020-08-16 02:45:34,20016
2020-08-16 02:50:34,20022
2020-08-16 02:55:34,19870
2020-08-16 03:00:35,19744
2020-08-16 03:05:34,19752
2020-08-16 03:10:35,19839
2020-08-16 03:15:35,19882
2020-08-16 03:20:34,19942
2020-08-16 03:25:34,19968
2020-08-16 03:30:34,19946
2020-08-16 03:35:35,19942
2020-08-16 03:40:34,19897
2020-08-16 03:45:34,19903
2020-08-16 03:50:34,19891
2020-08-16 03:55:35,19866
2020-08-16 04:00:35,19740
2020-08-16 04:05:35,19671
2020-08-16 04:10:34,19671
2020-08-16 04:15:34,19850
2020-08-16 04:20:35,20041
2020-08-16 04:25:34,20135
2020-08-16 04:30:34,20154
2020-08-16 04:35:35,20229
2020-08-16 04:40:35,20362
2020-08-16 04:45:34,20334
2020-08-16 04:50:35,20245
2020-08-16 04:55:34,20191
2020-08-16 05:00:35,20154
2020-08-16 05:05:34,20244
2020-08-16 05:10:34,20264
2020-08-16 05:15:35,20250
2020-08-16 05:20:34,20150
2020-08-16 05:25:34,20088
2020-08-16 05:30:35,20061
2020-08-16 05:35:34,20159
2020-08-16 05:40:35,20288
2020-08-16 05:45:34,20334
2020-08-16 05:50:35,20297
2020-08-16 05:55:34,20418
2020-08-16 06:00:35,20414
2020-08-16 06:05:35,20374
2020-08-16 06:10:35,20699
2020-08-16 06:15:35,20461
2020-08-16 06:20:34,20620
2020-08-16 06:25:35,20667
2020-08-16 06:30:34,20755
2020-08-16 06:35:35,20957
2020-08-16 06:40:35,20987
2020-08-16 06:45:34,21035
2020-08-16 06:50:34,21143
2020-08-16 06:55:35,21310
2020-08-16 07:00:34,21407
2020-08-16 07:05:35,21513
2020-08-16 07:10:34,22006
2020-08-16 07:15:34,22134
2020-08-16 07:20:35,22314
2020-08-16 07:25:34,22534
2020-08-16 07:30:34,22740
2020-08-16 07:35:35,22859
2020-08-16 07:40:35,23018
2020-08-16 07:45:34,23301
2020-08-16 07:50:35,23404
2020-08-16 07:55:34,23556
2020-08-16 08:00:36,23814
2020-08-16 08:05:34,23964
2020-08-16 08:10:34,24294
2020-08-16 08:15:34,24554
2020-08-16 08:20:35,24790
2020-08-16 08:25:34,24834
2020-08-16 08:30:35,24964
2020-08-16 08:35:34,25113
2020-08-16 08:40:34,25339
2020-08-16 08:45:34,25475
2020-08-16 08:50:35,25598
2020-08-16 08:55:35,25651
2020-08-16 09:00:35,25716
2020-08-16 09:05:34,25751
2020-08-16 09:10:36,25973
2020-08-16 09:15:34,26059
2020-08-16 09:20:34,26105
2020-08-16 09:25:35,26245
2020-08-16 09:30:34,26373
2020-08-16 09:35:34,26392
2020-08-16 09:40:35,26400
2020-08-16 09:45:34,26444
2020-08-16 09:50:34,25522
2020-08-16 09:55:35,25512
2020-08-16 10:00:34,25544
2020-08-16 10:05:34,25574
2020-08-16 10:10:34,25625
2020-08-16 10:15:34,25627
2020-08-16 10:20:34,25790
2020-08-16 10:25:34,25702
2020-08-16 10:30:35,26866
2020-08-16 10:35:34,26931
2020-08-16 10:40:35,26900
2020-08-16 10:45:35,26896
2020-08-16 10:50:34,26861
2020-08-16 10:55:35,26950
2020-08-16 11:00:35,27023
2020-08-16 11:05:35,27151
2020-08-16 11:10:35,27361
2020-08-16 11:15:34,27492
2020-08-16 11:20:35,27556
2020-08-16 11:25:35,27492
2020-08-16 11:30:35,27528
2020-08-16 11:35:34,27479
2020-08-16 11:40:35,27452
2020-08-16 11:45:35,27495
2020-08-16 11:50:34,27532
2020-08-16 11:55:35,27474
2020-08-16 12:00:34,27377
2020-08-16 12:05:35,27336
2020-08-16 12:10:35,27326
2020-08-16 12:15:35,27357
2020-08-16 12:20:34,27357
2020-08-16 12:25:35,27251
2020-08-16 12:30:36,27170
2020-08-16 12:35:34,27060
2020-08-16 12:40:34,27015
2020-08-16 12:45:34,26992
2020-08-16 12:50:35,26947
2020-08-16 12:55:34,26901
2020-08-16 13:00:35,26822
2020-08-16 13:05:34,26748
2020-08-16 13:10:35,26737
2020-08-16 13:15:35,26713
2020-08-16 13:20:34,26632
2020-08-16 13:25:35,26605
2020-08-16 13:30:35,26608
2020-08-16 13:35:35,26419
2020-08-16 13:40:34,26433
2020-08-16 13:45:35,26479
2020-08-16 13:50:34,26593
2020-08-16 13:55:34,26690
2020-08-16 14:00:34,26715
2020-08-16 14:05:36,26680
2020-08-16 14:10:34,26739
2020-08-16 14:15:34,26930
2020-08-16 14:20:36,27099
2020-08-16 14:25:35,27147
2020-08-16 14:30:35,27188
2020-08-16 14:35:34,27154
2020-08-16 14:40:34,27282
2020-08-16 14:45:35,27376
2020-08-16 14:50:34,27464
2020-08-16 14:55:35,27558
2020-08-16 15:00:34,27651
2020-08-16 15:05:35,27639
2020-08-16 15:10:35,27505
2020-08-16 15:15:35,27610
2020-08-16 15:20:34,27746
2020-08-16 15:25:37,27914
2020-08-16 15:30:35,28081
2020-08-16 15:35:34,28231
2020-08-16 15:40:34,28295
2020-08-16 15:45:34,28236
2020-08-16 15:50:34,28270
2020-08-16 15:55:34,28440
2020-08-16 16:00:35,28572
2020-08-16 16:05:35,28611
2020-08-16 16:10:34,28718
2020-08-16 16:15:34,28829
2020-08-16 16:20:35,28966
2020-08-16 16:25:34,29135
2020-08-16 16:30:35,29164
2020-08-16 16:35:34,29236
2020-08-16 16:40:34,29255
2020-08-16 16:45:34,29373
2020-08-16 16:50:35,29440
2020-08-16 16:55:34,29488
2020-08-16 17:00:34,29446
2020-08-16 17:05:35,29383
2020-08-16 17:10:35,29398
2020-08-16 17:15:34,29344
2020-08-16 17:20:34,29365
2020-08-16 17:25:35,29384
2020-08-16 17:30:34,29373
2020-08-16 17:35:35,29377
2020-08-16 17:40:34,29221
2020-08-16 17:45:34,29245
2020-08-16 17:50:35,29293
2020-08-16 17:55:34,29274
2020-08-16 18:00:35,29180
2020-08-16 18:05:35,29058
2020-08-16 18:10:34,29004
2020-08-16 18:15:34,28984
2020-08-16 18:20:35,28898
2020-08-16 18:25:35,28718
2020-08-16 18:30:35,28662
2020-08-16 18:35:34,28667
2020-08-16 18:40:35,28653
2020-08-16 18:45:34,28500
2020-08-16 18:50:35,28393
2020-08-16 18:55:34,28379
2020-08-16 19:00:34,28306
2020-08-16 19:05:35,28276
2020-08-16 19:10:35,28186
2020-08-16 19:15:35,28091
2020-08-16 19:20:36,28003
2020-08-16 19:25:35,27841
2020-08-16 19:30:34,27914
2020-08-16 19:35:34,28103
2020-08-16 19:40:35,28141
2020-08-16 19:45:36,28002
2020-08-16 19:50:35,27967
2020-08-16 19:55:35,27954
2020-08-16 20:00:38,27927
2020-08-16 20:05:38,27849
2020-08-16 20:10:35,27988
2020-08-16 20:15:36,28010
2020-08-16 20:20:35,27747
2020-08-16 20:25:36,27658
2020-08-16 20:30:36,27384
2020-08-16 20:35:35,27069
2020-08-16 20:40:36,27018
2020-08-16 20:45:34,27060
2020-08-16 20:50:34,26966
2020-08-16 20:55:34,26870
2020-08-16 21:00:36,26536
2020-08-16 21:05:38,26456
2020-08-16 21:10:36,26444
2020-08-16 21:15:35,26437
2020-08-16 21:20:35,26245
2020-08-16 21:25:36,25914
2020-08-16 21:30:36,25636
2020-08-16 21:35:35,25567
2020-08-16 21:40:35,25405
2020-08-16 21:45:36,25269
2020-08-16 21:50:36,24950
2020-08-16 21:55:35,24720
2020-08-16 22:00:36,24654
2020-08-16 22:05:35,24695
2020-08-16 22:10:37,23981
2020-08-16 22:15:36,24030
2020-08-16 22:20:36,23616
2020-08-16 22:25:35,23363
2020-08-16 22:30:35,23201
2020-08-16 22:35:36,22979
2020-08-16 22:40:36,22780
2020-08-16 22:45:36,22590
2020-08-16 22:50:36,22443
2020-08-16 22:55:36,22395
2020-08-16 23:00:38,22354
2020-08-16 23:05:36,22166
2020-08-16 23:10:36,21848
2020-08-16 23:15:35,21803
2020-08-16 23:20:36,21701
2020-08-16 23:25:36,21695
2020-08-16 23:30:36,21594
2020-08-16 23:35:37,21504
2020-08-16 23:40:35,21455
2020-08-16 23:45:35,21438
2020-08-16 23:50:37,21360
2020-08-16 23:55:36,21423
2020-08-17 00:00:43,21491
2020-08-17 00:05:36,21392
2020-08-17 00:10:35,21366
2020-08-17 00:15:35,21302
2020-08-17 00:20:35,21301
2020-08-17 00:25:35,21304
2020-08-17 00:30:39,21130
2020-08-17 00:35:35,21013
2020-08-17 00:40:35,20964
2020-08-17 00:45:36,20935
2020-08-17 00:50:35,20938
2020-08-17 00:55:35,20899
2020-08-17 01:00:36,20840
2020-08-17 01:05:36,20870
2020-08-17 01:10:36,20891
2020-08-17 01:15:36,20910
2020-08-17 01:20:36,20836
2020-08-17 01:25:36,20800
2020-08-17 01:30:35,20842
2020-08-17 01:35:36,20875
2020-08-17 01:40:36,20882
2020-08-17 01:45:35,20858
2020-08-17 01:50:38,20902
2020-08-17 01:55:36,20918
2020-08-17 02:00:36,20936
2020-08-17 02:05:35,20929
2020-08-17 02:10:36,20930
2020-08-17 02:15:34,20921
2020-08-17 02:20:35,20916
2020-08-17 02:25:34,20907
2020-08-17 02:30:34,20912
2020-08-17 02:35:36,20928
2020-08-17 02:40:34,20922
2020-08-17 02:45:35,20852
2020-08-17 02:50:34,20836
2020-08-17 02:55:35,20861
2020-08-17 03:00:34,20824
2020-08-17 03:05:36,20821
2020-08-17 03:10:34,20476
2020-08-17 03:15:35,20463
2020-08-17 03:20:35,20498
2020-08-17 03:25:34,20560
2020-08-17 03:30:34,20610
2020-08-17 03:35:35,20667
2020-08-17 03:40:35,20705
2020-08-17 03:45:34,20675
2020-08-17 03:50:35,20659
2020-08-17 03:55:34,20738
2020-08-17 04:00:34,20785
2020-08-17 04:05:34,20821
2020-08-17 04:10:34,20680
2020-08-17 04:15:34,20512
2020-08-17 04:20:34,20429
2020-08-17 04:25:34,20437
2020-08-17 04:30:34,20455
2020-08-17 04:35:36,20451
2020-08-17 04:40:34,20740
2020-08-17 04:45:35,21326
2020-08-17 04:50:36,21616
2020-08-17 04:55:34,21756
2020-08-17 05:00:34,21899
2020-08-17 05:05:35,22123
2020-08-17 05:10:35,22358
2020-08-17 05:15:35,22499
2020-08-17 05:20:35,22626
2020-08-17 05:25:34,22777
2020-08-17 05:30:35,23074
2020-08-17 05:35:34,23442
2020-08-17 05:40:34,23784
2020-08-17 05:45:35,23991
2020-08-17 05:50:34,24224
2020-08-17 05:55:35,24523
2020-08-17 06:00:34,24823
2020-08-17 06:05:35,25104
2020-08-17 06:10:34,25186
2020-08-17 06:15:34,25904
2020-08-17 06:20:34,26346
2020-08-17 06:25:34,26486
2020-08-17 06:30:34,26755
2020-08-17 06:35:34,27128
2020-08-17 06:40:34,27393
2020-08-17 06:45:35,27479
2020-08-17 06:50:34,27448
2020-08-17 06:55:35,27742
2020-08-17 07:00:34,27911
2020-08-17 07:05:35,28139
2020-08-17 07:10:34,28737
2020-08-17 07:15:35,29059
2020-08-17 07:20:34,29376
2020-08-17 07:25:35,29735
2020-08-17 07:30:35,29903
2020-08-17 07:35:35,29936
2020-08-17 07:40:34,29929
2020-08-17 07:45:34,29946
2020-08-17 07:50:35,30133
2020-08-17 07:55:34,30232
2020-08-17 08:00:35,30194
2020-08-17 08:05:34,30273
2020-08-17 08:10:35,30270
2020-08-17 08:15:35,30328
2020-08-17 08:20:34,30362
2020-08-17 08:25:34,30414
2020-08-17 08:30:35,30545
2020-08-17 08:35:35,30553
2020-08-17 08:40:34,30260
2020-08-17 08:45:34,30266
2020-08-17 08:50:36,30329
2020-08-17 08:55:34,30337
2020-08-17 09:00:35,30347
2020-08-17 09:05:34,30282
2020-08-17 09:10:34,30538
2020-08-17 09:15:35,30429
2020-08-17 09:20:34,30451
2020-08-17 09:25:35,30366
2020-08-17 09:30:34,30326
2020-08-17 09:35:34,30252
2020-08-17 09:40:35,30363
2020-08-17 09:45:35,30511
2020-08-17 09:50:34,30523
2020-08-17 09:55:34,30571
2020-08-17 10:00:36,30354
2020-08-17 10:05:34,30397
2020-08-17 10:10:34,30849
2020-08-17 10:15:34,30887
2020-08-17 10:20:35,30640
2020-08-17 10:25:35,30573
2020-08-17 10:30:35,30537
2020-08-17 10:35:35,30405
2020-08-17 10:40:35,30252
2020-08-17 10:45:34,30105
2020-08-17 10:50:34,30062
2020-08-17 10:55:35,29876
2020-08-17 11:00:35,29893
2020-08-17 11:05:34,30043
2020-08-17 11:10:34,29958
2020-08-17 11:15:36,30105
2020-08-17 11:20:34,30238
2020-08-17 11:25:34,30189
2020-08-17 11:30:35,30094
2020-08-17 11:35:35,30025
2020-08-17 11:40:34,30006
2020-08-17 11:45:34,30006
2020-08-17 11:50:35,30076
2020-08-17 11:55:34,30175
2020-08-17 12:00:35,30131
2020-08-17 12:05:34,30275
2020-08-17 12:10:35,30363
2020-08-17 12:15:34,30145
2020-08-17 12:20:35,30098
2020-08-17 12:25:35,30116
2020-08-17 12:30:35,30199
2020-08-17 12:35:35,30094
2020-08-17 12:40:35,30017
2020-08-17 12:45:34,29901
2020-08-17 12:50:34,29798
2020-08-17 12:55:35,29786
2020-08-17 13:00:35,29669
2020-08-17 13:05:35,29626
2020-08-17 13:10:35,29572
2020-08-17 13:15:35,29677
2020-08-17 13:20:50,29655
2020-08-17 13:25:34,29662
2020-08-17 13:30:37,29606
2020-08-17 13:35:35,29545
2020-08-17 13:40:35,29589
2020-08-17 13:45:34,29516
2020-08-17 13:50:35,29516
2020-08-17 13:55:35,29541
2020-08-17 14:00:35,29470
2020-08-17 14:05:35,29476
2020-08-17 14:10:35,29504
2020-08-17 14:15:34,29561
2020-08-17 14:20:37,29573
2020-08-17 14:25:36,29611
2020-08-17 14:30:35,29623
2020-08-17 14:35:36,29655
2020-08-17 14:40:38,29628
2020-08-17 14:45:36,29644
2020-08-17 14:50:35,29740
2020-08-17 14:55:35,29910
2020-08-17 15:00:36,29956
2020-08-17 15:05:35,30033
2020-08-17 15:10:36,30112
2020-08-17 15:15:39,30244
2020-08-17 15:20:35,30313
2020-08-17 15:25:38,30313
2020-08-17 15:30:37,30279
2020-08-17 15:35:38,30324
2020-08-17 15:40:38,30587
2020-08-17 15:45:34,30459
2020-08-17 15:50:35,30613
2020-08-17 15:55:36,30767
2020-08-17 16:00:38,30807
2020-08-17 16:05:35,30929
2020-08-17 16:10:37,31098
2020-08-17 16:15:35,31081
2020-08-17 16:20:35,31117
2020-08-17 16:25:35,31306
2020-08-17 16:30:36,31456
2020-08-17 16:35:35,31564
2020-08-17 16:40:35,31668
2020-08-17 16:45:34,31694
2020-08-17 16:50:35,31725
2020-08-17 16:55:34,31795
2020-08-17 17:00:35,31998
2020-08-17 17:05:35,32043
2020-08-17 17:10:34,32037
2020-08-17 17:15:35,32072
2020-08-17 17:20:37,32025
2020-08-17 17:25:35,31949
2020-08-17 17:30:35,31852
2020-08-17 17:35:35,31814
2020-08-17 17:40:36,31772
2020-08-17 17:45:34,31730
2020-08-17 17:50:37,31681
2020-08-17 17:55:34,31671
2020-08-17 18:00:35,31632
2020-08-17 18:05:35,31552
2020-08-17 18:10:35,31413
2020-08-17 18:15:35,31539
2020-08-17 18:20:34,31360
2020-08-17 18:25:35,31325
2020-08-17 18:30:35,31186
2020-08-17 18:35:34,31174
2020-08-17 18:40:34,31084
2020-08-17 18:45:34,31112
2020-08-17 18:50:34,31018
2020-08-17 18:55:34,30986
2020-08-17 19:00:35,30899
2020-08-17 19:05:35,30760
2020-08-17 19:10:35,30704
2020-08-17 19:15:34,30662
2020-08-17 19:20:35,30578
2020-08-17 19:25:35,30663
2020-08-17 19:30:35,30539
2020-08-17 19:35:36,30540
2020-08-17 19:40:34,30557
2020-08-17 19:45:34,30470
2020-08-17 19:50:36,30511
2020-08-17 19:55:34,30640
2020-08-17 20:00:35,30644
2020-08-17 20:05:35,30476
2020-08-17 20:10:34,30596
2020-08-17 20:15:34,30555
2020-08-17 20:20:35,30330
2020-08-17 20:25:35,30084
2020-08-17 20:30:34,30119
2020-08-17 20:35:35,29981
2020-08-17 20:40:34,29868
2020-08-17 20:45:34,29846
2020-08-17 20:50:35,29640
2020-08-17 20:55:35,29424
2020-08-17 21:00:34,29294
2020-08-17 21:05:34,28870
2020-08-17 21:10:34,28576
2020-08-17 21:15:35,28529
2020-08-17 21:20:36,28349
2020-08-17 21:25:35,28032
2020-08-17 21:30:35,27802
2020-08-17 21:35:36,27570
2020-08-17 21:40:34,27200
2020-08-17 21:45:34,26851
2020-08-17 21:50:35,26645
2020-08-17 21:55:34,26413
2020-08-17 22:00:35,26158
2020-08-17 22:05:35,25893
2020-08-17 22:10:34,25522
2020-08-17 22:15:35,25285
2020-08-17 22:20:34,25050
2020-08-17 22:25:34,24903
2020-08-17 22:30:35,24623
2020-08-17 22:35:34,24279
2020-08-17 22:40:34,24050
2020-08-17 22:45:34,23745
2020-08-17 22:50:34,23660
2020-08-17 22:55:35,23396
2020-08-17 23:00:34,23207
2020-08-17 23:05:35,23087
2020-08-17 23:10:34,23202
2020-08-17 23:15:34,23198
2020-08-17 23:20:35,23116
2020-08-17 23:25:35,23029
